title,completed
"Year My Voice Broke, The",false
"Temp, The",true
Simon,false
I Am,false
Support Your Local Sheriff!,false
"Mark of Cain, The",true
"Big Red One, The",true
Make Way for Tomorrow,true
Test Pilot,false
Sarah Silverman:  We Are Miracles,true
Paris Is Burning,true
"Story of Three Loves, The",false
My Family,true
Target,true
Fort McCoy,true
Black Friday,true
Broadway Idiot,true
Misconception,false
Colossal Youth (Juventude Em Marcha),true
Russkies,false
"Sound of Fury, The",true
"Trip, The",true
"Gospel, The",false
"Ballad of Nessie, The",true
Cry of the City,true
Natural Born Killers,true
Madhouse,true
Shirin,false
Tokyo Decadence (Topâzu),true
Stick It,false
Encore,false
Kiss of the Damned,false
Waterloo Bridge,true
Home on the Range,true
Assault on Precinct 13,false
Love & Human Remains,true
Sabotage,true
Killjoy Goes to Hell,true
Stepmom,false
"Alphabet Killer, The",false
"Kid from Brooklyn, The",true
Knight Without Armor,false
"Magic Gloves, The (Los guantes mágicos)",true
Scary Movie 5 (Scary MoVie),false
Stonehenge Apocalypse,false
Somebody is Waiting,true
Killer Force,true
Silent Sonata,false
"It s Not Me, I Swear! (C est pas moi, je le jure!)",true
"Mouse That Roared, The",true
Dark Alibi,false
"Premature Burial, The",true
Warrendale,false
So Young (Zhi wo men zhong jiang shi qu de qing chun),false
Pentimento,true
From Dusk Till Dawn 3: The Hangman s Daughter,true
Ménilmontant,false
Dragon Ball Z: Fusion Reborn (Doragon bôru Z 12: Fukkatsu no fyushon!! Gokû to Bejîta),true
The Last Station,true
We Are What We Are (Somos lo que hay),true
Me and the Colonel ,true
Female,false
Call Her Savage,true
"Escapist, The",true
Hick,false
S.W.A.T.: Firefight,false
Tapia,false
"Comedy of Terrors, The",false
Scary Movie,true
I ve Loved You So Long (Il y a longtemps que je t aime),false
Black River (Kuroi kawa),false
Kill Me Again,false
Mean Streets,false
"Girl, Positive",true
"American Nightmare, The",true
Paulie,true
Blue Spring (Aoi haru),true
Mother India,true
Police Academy 4: Citizens on Patrol,true
Miracle on 34th Street,false
Wilbur Wants to Kill Himself,false
Summer Lovers,true
Stanley Kubrick: A Life in Pictures,true
Age of the Dragons,true
Endeavour,false
Garfield s Fun Fest,false
Flower in Hell (Jiokhwa),false
Uranus,true
Blossoms in the Dust,false
Dead Space: Aftermath,false
Frances Ha,false
Viagem a Portugal,true
Blind Spot: Hitler s Secretary (Im toten Winkel - Hitlers Sekretärin),true
Mary and Max,true
"Brain, The",false
"Big Lift, The",true
Silent Running,false
Out at the Wedding,false
Osaka Elegy (Naniwa erejî),false
Cat on a Hot Tin Roof,false
"Gabby Douglas Story, The",true
Violent Saturday,true
Aftermath,false
Into the White (Cross of Honour),false
Scavenger Hunt,true
West Side Story,true
"Hills Have Eyes, The",false
Magic in the Moonlight,false
Dragon Age: Redemption,true
49 Up,true
Road to Zanzibar,true
Sergeant Körmy and the South Pacific (Vääpeli Körmy ja etelän hetelmät),true
City of Men (Cidade dos Homens),true
Amityville: Dollhouse,false
"Tunnel, The",false
Bananas!*,true
It! The Terror from Beyond Space,true
Valley Uprising,true
The Duke of Burgundy,false
My Stepmother Is an Alien,true
Godzilla (Gojira),true
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,true
It,true
"Misérables, Les",true
"Man with No Shadow, The (Homme sans ombre, L )",false
Beck - Familjen,true
Serving Sara,false
"Wreck of the Mary Deare, The",false
About Cherry,false
Madonna of the Seven Moons,true
West Side Story,false
Andy Hardy s Blonde Trouble,false
He Got Game,false
I Belong (Som du ser meg),true
Badlands,true
"Crow: City of Angels, The",true
Lilting,false
Diamonds Are Forever,true
"Great Texas Dynamite Chase, The",true
Godzilla vs. Destroyah (Gojira vs. Desutoroiâ) ,true
Without Lying Down: Frances Marion and the Power of Women in Hollywood,false
"East, The",false
"Autobiography of Nicolae Ceausescu, The (Autobiografia lui Nicolae Ceausescu)",false
Cobra,true
36 Hours,false
Journeys with George,false
Blood and Wine (Blood & Wine),false
Edison Kinetoscopic Record of a Sneeze,true
Bill Burr: Why Do I Do This?,false
"Passion of Anna, The (Passion, En)",false
Four Nights with Anna (Cztery noce z Anna),true
Antonia s Line (Antonia),false
Mabel s Married Life,false
Indiscreet,true
"Born Losers, The",true
Starting Out in the Evening,false
"Debt, The (Dlug)",true
Mahjong (Ma jiang),false
"Promised Life, The (Vie promise, La)",true
Castle in the Desert (Charlie Chan in Castle in the Desert),true
"Paris, I Love You (Paris, je t aime)",true
"Story of Esther Costello, The",true
Fata Morgana,true
Exit Wounds,true
"Balance, La",false
"Patch of Blue, A",false
Force of Evil,true
Five Card Stud (a.k.a. 5 Card Stud),false
"Last Exorcism Part II, The",false
"Wheeler Dealers, The",true
Drive Angry,false
"Beautiful Person, The (La belle personne)",false
Head Over Heels,true
Gladiator,true
Little Lili (La petite Lili),false
Mammoth (Mammut),true
Kismet,true
Life of Crime,true
"Gypsy Moths, The",true
Alias the Doctor,true
Among Giants,true
Upstream,false
Reckless,false
"Dirties, The",false
"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!)",true
About a Boy,true
"Christmas Tale, A (Un conte de Noël)",false
Waiting for Happiness (Heremakono),true
Adventures of Kitty O Day (Kitty O Day Comes Through),false
Summer Stock,false
Hi-Yo Silver,false
Frozen Hell (Jäämarssi) ,false
Love! Valour! Compassion!,false
Gigantic (A Tale of Two Johns),true
"Half Life of Timofey Berezin, The (PU-239)",false
Get Shorty,true
Who Can Kill a Child? (a.k.a. Island of the Damned) (¿Quién puede matar a un niño?),true
Dogs in Space,false
Clockers,true
"Testament of Orpheus, The (Testament d Orphée)",true
Oldboy,false
Burton and Taylor,false
Rawhead Rex,true
Schindler s List,true
One Point O,true
"Incredible Shrinking Man, The",false
Sinbad of the Seven Seas,true
Dance with a Stranger,false
Fanny and Alexander (Fanny och Alexander),true
"Battle of the Rails, The (La bataille du rail)",false
Blood: The Last Vampire,true
Rembrandt s J accuse,false
Waiting for Superman,false
Only the Strong Survive - A Celebration of Soul,false
"Few Good Men, A",true
Amar Akbar Anthony,false
Welcome,false
Bringing Up Bobby,false
Quackser Fortune Has a Cousin in the Bronx,true
Eight Days a Week,false
Rare Birds,true
"Girl, The",false
Kiss Me Deadly,true
"Home of Our Own, A",false
She Creature (Mermaid Chronicles Part 1: She Creature),true
Mad Dog Coll,false
"Salvation, The",true
Red Road,true
"Hollow Crown, The",false
Dolphin Tale,true
Dark Tide,true
Innocence,false
"Bride with White Hair, The (Bai fa mo nu zhuan)",true
Life Is Sweet,true
White Night Wedding (Brúðguminn),false
Deja Vu,true
Open House ,true
Battlestar Galactica: The Plan,true
Idle Mist (Vana Espuma),false
Squanto: A Warrior s Tale,false
Zanjeer,true
Rockaway,true
Cell 211 (Celda 211),true
Penny Dreadful,false
Lola Versus,true
Dance of the Dead,true
True Confession,false
Cavalcade,true
Home Run,true
Surviving Picasso,true
Mary Reilly,false
Come Live with Me,true
Captain Conan (Capitaine Conan),false
Elsewhere,false
"Friend of Mine, A (Ein Freund von mir)",true
"White Darkness, The",false
"No Blood Relation (Stepchild, The) (Nasanunaka)",false
Madeline,true
Beverly Hills Cop,false
Passenger 57,true
"House Bunny, The",false
Crimes of the Future,true
Grief,false
She s So Lovely,true
"Last Man on Earth, The (Ultimo uomo della Terra, L )",false
Hemingway & Gellhorn,true
Uncounted: The New Math of American Elections,false
Dil Se,true
Skokie ,false
Campus Man,false
"Big Fix, The",true
"Real McCoy, The",true
In the Navy,false
Above the Rim,true
Bad Ass,true
Iran Is Not the Problem,true
Neighbors,true
Age of Tomorrow,false
Lassie,false
"Silent Night, Deadly Night III: Better Watch Out!",false
Noriko s Dinner Table (Noriko no shokutaku),false
Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz),false
But Not for Me,false
Brighton Rock,false
Dillinger Is Dead (Dillinger è morto),true
Take Out,true
"Sport, Sport, Sport",false
King Cobra,false
This Land Is Mine,false
247°F ,true
Freedom Writers,false
Hancock,true
Comedy of Innocence (Comédie de l innocence),true
Saratoga,false
That Most Important Thing: Love (L important c est d aimer),true
Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng),true
Pumping Iron II: The Women,false
"Hunter, The",true
Dark Skies,false
"Ladies Man, The",true
Between the Sheets (Entre Lençóis),false
Mister Johnson,true
Are All Men Pedophiles,true
Appleseed Alpha,false
Forbidden Games (Jeux interdits),true
88 Minutes,false
Destruction Force,true
Gone in 60 Seconds,false
"Butcher Boy, The",true
Big Momma s House 2,true
Beauty and the Boss,true
Invasion of the Body Snatchers,true
"Way, The",true
Floating,true
"Pain in the Ass, A (L emmerdeur)",false
"Scarecrow, The",true
Expect No Mercy,false
Love Steaks,true
Man in the Chair,false
Puss in Boots: The Three Diablos,false
"Eye for an Eye, An (Silmä silmästä)",true
Pushing Hands (Tui shou),false
Pirates of the Caribbean: The Curse of the Black Pearl,false
"Navigator: A Mediaeval Odyssey, The",false
Asfalto,true
"Citadel, The",true
"Passion of Darkly Noon, The",true
Until Death,false
Out of Reach,true
Let Me In,false
First Man Into Space,true
Great Balls of Fire!,false
Scarface,true
"Bad News Bears Go to Japan, The",false
Billy Madison,false
"When You Comin  Back, Red Ryder?",false
Cirque du Soleil: Varekai,true
Bullets Don t Argue,true
"Mob, The",false
Son of Frankenstein,true
"Luzhin Defence, The",false
Basic,false
My Father the Hero,false
The Studio Murder Mystery,false
Teddy Bear (10 timer til Paradis),true
End of the World,true
Bionicle 3: Web of Shadows,false
Belly 2: Millionaire Boyz Club,false
Wreckers,false
Lost Boundaries,true
Robin Hood,false
Death of a Nation - The Timor Conspiracy,false
Crane World (Mundo grúa),true
"Cove, The",false
A Promise,false
"House, The (A Casa)",false
Silk Stockings,true
Fog Over Frisco,false
Henry & June,true
Cherish,false
Adam Resurrected,true
Juliet of the Spirits (Giulietta degli spiriti),false
My Gun is Quick,true
Rails & Ties,false
Wishful Drinking,true
Infernal Affairs 2 (Mou gaan dou II),false
Nothing Like the Holidays,true
Godzilla vs. Mothra (Mosura tai Gojira),false
"Sorry, Wrong Number",false
$9.99,true
Black Hand,true
Des roses en hiver,false
"Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die)",false
In Harm s Way,false
Maidentrip,false
What Fault Is It of Ours?,true
William S. Burroughs: A Man Within,false
1981,false
"Horse s Mouth, The",true
Jim Jefferies: BARE,false
(Untitled),true
Vali,true
Twilight,false
"Yobi, The Five-Tailed Fox",true
Mutant Chronicles,true
W Delta Z (a.k.a. The Killing Gene),false
Before Sunset,false
"Way, Way Back, The",true
Rampage,false
Pale Flower (Kawaita hana),false
Barry Lyndon,true
My Last Day Without You (Nie mehr ohne Dich),true
"Laughing Policeman, The",false
Big Sur,false
Bikini Summer II,true
"Hungarian Fairy Tale, A (Hol volt, hol nem volt)",false
Eternally Yours,true
Shutter,true
Angels with Dirty Faces,false
"Man Who Loved Cat Dancing, The",false
 Salem s Lot,false
Jerry Seinfeld:  I m Telling You for the Last Time ,true
Nymph,true
King & Country,true
Glumov s Diary (Dnevnik Glumova),true
"Temp, The",true
"Love Guru, The",true
"Edge of Heaven, The (Auf der anderen Seite)",true
"I Love You, Don t Touch Me!",true
Jerusalem Countdown,false
We re Back! A Dinosaur s Story,false
Boyhood,true
Camille,false
Many Rivers to Cross,false
High Test Girls,false
"Black Stallion Returns, The",true
"Jacket, The",false
Roman Holiday,false
"Beast with Five Fingers, The",false
Devils on the Doorstep (Guizi lai le),true
Sword of the Stranger (Sutorejia: Mukô hadan),false
Iran Is Not the Problem,false
Chungking Express (Chung Hing sam lam),true
Unlawful Entry,false
Dr. Seuss  The Lorax,false
Double Dynamite,false
Star!,true
Graduation Day,true
Pine Flat,true
"Aquí llega Condemor, el pecador de la pradera",false
Dead Silent,true
Gate of Hell (Jigokumon),false
Levitated Mass,true
Maîtresse (Mistress),false
Three Men and a Baby,false
"Whip and the Body, The (Frusta e il corpo, La)",false
Hunting Elephants,false
Stalin,true
"Ballad of Jack and Rose, The",false
Vito,false
Punch-Drunk Love,false
Sleeping with Other People,false
Little Children,false
Mustalaishurmaaja,true
Clear and Present Danger,false
Philadelphia Experiment II,false
Pacific Rim,true
National Velvet,true
Blind Husbands,true
Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht),true
"I Love You, Man",true
With Honors,false
The Prisoner,true
Breaking Point,true
"Front Line, The",true
"American Werewolf in London, An",true
Mimino,false
Sweet Mud (Adama Meshuga at),false
Girls Just Want to Have Fun,false
Tokyo Sonata,true
"Man Who Loved Women, The (Homme qui aimait les femmes, L )",true
Alice and Martin (Alice et Martin),true
"Planet of the Future, The",false
One Spy Too Many,false
Blue Caprice,true
"Milwaukee, Minnesota",false
Blue Spring (Aoi haru),false
